shapeName_adm2,shapeID_adm2,shapeName_adm1,shapeID_adm1,overlap_adm1,treatment,esa_lc_2015_rainfed_cropland,esa_lc_2015_mosaic_cropland,esa_lc_2015_forest,esa_lc_2015_urban,esa_lc_2015_irrigated_cropland,esa_lc_2015_grassland,esa_lc_2015_shrubland,esa_lc_2015_water_bodies,esa_lc_2015_bare_areas,esa_lc_2015_wetland,esa_lc_2015_sparse_vegetation,esa_lc_2020_rainfed_cropland,esa_lc_2020_mosaic_cropland,esa_lc_2020_forest,esa_lc_2020_urban,esa_lc_2020_irrigated_cropland,esa_lc_2020_grassland,esa_lc_2020_shrubland,esa_lc_2020_water_bodies,esa_lc_2020_bare_areas,esa_lc_2020_wetland,esa_lc_2020_sparse_vegetation,lc_2015_count,lc_2020_count,lc_2015_count_land,lc_2020_count_land,lc_2015_count_cropland,lc_2020_count_cropland,lc_2015_percent_forest,lc_2015_percent_urban,lc_2015_percent_cropland,lc_2020_percent_forest,lc_2020_percent_urban,lc_2020_percent_cropland,forest_change,urban_change,cropland_change
Wassa Amenfi Central,2480657B10255028610816,Western Region,69750345B38025690459934,0.9812052698666636,0,13367.0,1404.0,5378.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13239.0,1398.0,5506.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20170.0,20170.0,20170.0,20170.0,14771.0,14637.0,26.663361427863165,0.10411502231036192,73.23252354982648,27.297967278135843,0.1338621715418939,72.56817055032226,0.6346058502726777,0.029747149231531975,-0.6643529995042172
Tamale Metropolitan,2480657B1027184338147,Northern Region,69750345B37738609557703,0.9988063084820558,0,3909.0,1210.0,1139.0,194.0,1.0,2.0,768.0,4.0,0.0,0.0,0.0,3811.0,1195.0,1260.0,317.0,1.0,2.0,637.0,4.0,0.0,0.0,0.0,7227.0,7227.0,7223.0,7223.0,5120.0,5007.0,15.769071023120587,2.68586459919701,70.88467395818911,17.444275231898104,4.388758133739444,69.32022705247127,1.675204208777517,1.7028935345424339,-1.564446905717844
Old Tafo Municipal,2480657B10806173713075,Ashanti Region,69750345B3295588325057,1.0,1,12.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,367.0,12.0,2.0,0.0,96.73024523160763,3.2697547683923704,0.0,99.45504087193461,0.544959128065395,0.0,2.724795640326988,-2.7247956403269753
Ayensuano,2480657B11085167902059,Eastern Region,69750345B54645730941985,1.000000000000003,1,5389.0,123.0,62.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5389.0,123.0,62.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5588.0,5588.0,5588.0,5588.0,5512.0,5512.0,1.1095204008589834,0.25053686471009307,98.63994273443092,1.1095204008589834,0.25053686471009307,98.63994273443092,0.0,0.0,0.0
Dormaa West,2480657B11503231198633,Bono Region,69750345B13833050062966,0.9922777304169613,0,4002.0,140.0,118.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4002.0,139.0,118.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4288.0,4288.0,4288.0,4288.0,4142.0,4141.0,2.751865671641791,0.6529850746268656,96.59514925373134,2.751865671641791,0.6763059701492536,96.57182835820896,0.0,0.02332089552238803,-0.023320895522374485
Agotime Ziope,2480657B11620193732867,Volta Region,69750345B58204744476950,0.9857626629555292,0,2215.0,869.0,498.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2084.0,785.0,713.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3590.0,3590.0,3590.0,3590.0,3084.0,2869.0,13.871866295264624,0.08356545961002786,85.90529247910862,19.860724233983287,0.08356545961002786,79.91643454038997,5.988857938718663,0.0,-5.9888579387186525
Accra Metropolis,2480657B11720749290533,Greater Accra Region,69750345B46963341226980,0.9965400797241076,1,1.0,0.0,0.0,76.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,83.0,83.0,78.0,78.0,1.0,0.0,0.0,97.43589743589743,1.282051282051282,0.0,100.0,0.0,0.0,2.564102564102569,-1.282051282051282
Ablekuma West Municipal,2480657B12570528382412,Greater Accra Region,69750345B46963341226980,0.9986858370861089,1,1.0,0.0,0.0,161.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,179.0,179.0,163.0,163.0,1.0,0.0,0.0,98.77300613496932,0.6134969325153374,0.0,100.0,0.0,0.0,1.2269938650306784,-0.6134969325153374
Wassa Amenfi West,2480657B13145859726554,Western Region,69750345B38025690459934,0.909582790973479,0,12168.0,857.0,2928.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12143.0,854.0,2947.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15990.0,15990.0,15990.0,15990.0,13025.0,12997.0,18.31144465290807,0.225140712945591,81.4571607254534,18.430268918073796,0.28142589118198874,81.28205128205128,0.11882426516572764,0.056285178236397754,-0.1751094434021212
Nkwanta South Municipal,2480657B13680530894334,Oti Region,69750345B12045161590865,0.989182314866514,0,3930.0,8664.0,15954.0,26.0,52.0,6.0,543.0,537.0,28.0,0.0,0.0,3627.0,7433.0,17543.0,27.0,33.0,6.0,506.0,537.0,28.0,0.0,0.0,29740.0,29740.0,29203.0,29203.0,12646.0,11093.0,54.6313734890251,0.0890319487723864,43.30377016059994,60.07259528130672,0.09245625449440126,37.985823374310854,5.441221792281617,0.003424305722014853,-5.317946786289085
Tain,2480657B14065489870616,Bono Region,69750345B13833050062966,1.0000000000000007,1,4945.0,5493.0,9059.0,96.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,4879.0,5475.0,9139.0,102.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,19933.0,19933.0,19933.0,19933.0,10438.0,10354.0,45.44724828174384,0.4816134049064366,52.365424170972766,45.84859278583254,0.5117142427130889,51.94401244167963,0.4013445040886978,0.030100837806652236,-0.4214117292931334
Atwima Nwabiagya North,2480657B14484334363928,Ashanti Region,69750345B3295588325057,1.0000000000000004,0,2233.0,83.0,13.0,68.0,0.0,0.0,2.0,43.0,0.0,0.0,0.0,2161.0,80.0,13.0,143.0,0.0,0.0,2.0,43.0,0.0,0.0,0.0,2442.0,2442.0,2399.0,2399.0,2316.0,2241.0,0.5418924551896623,2.83451438099208,96.54022509378908,0.5418924551896623,5.960817007086286,93.41392246769487,0.0,3.1263026260942057,-3.1263026260942013
Atwima Kwanwoma,2480657B14749544754301,Ashanti Region,69750345B3295588325057,1.0000000000000027,0,2463.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2238.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.0,2863.0,2863.0,2863.0,2463.0,2238.0,0.0,13.971358714634999,86.028641285365,0.0,21.830247991617185,78.16975200838282,0.0,7.858889276982186,-7.8588892769821825
Chereponi,2480657B14989848452061,North East Region,69750345B94584643914501,0.966831609301212,0,4748.0,1781.0,1940.0,8.0,4.0,3.0,6668.0,45.0,0.0,0.0,0.0,4990.0,1796.0,2011.0,12.0,4.0,4.0,6335.0,45.0,0.0,0.0,0.0,15197.0,15197.0,15152.0,15152.0,6533.0,6790.0,12.803590285110877,0.05279831045406547,43.11642027455122,13.27217529039071,0.07919746568109821,44.812565997888065,0.4685850052798326,0.026399155227032747,1.6961457233368478
Wassa Amenfi East,2480657B15365927336493,Western Region,69750345B38025690459934,0.9591972930922783,1,11421.0,1162.0,4355.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11299.0,1152.0,4443.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16983.0,16983.0,16983.0,16983.0,12583.0,12451.0,25.643290349172705,0.2649708532061473,74.09173879762115,26.161455573220277,0.5240534652299358,73.31449096154978,0.5181652240475714,0.25908261202378846,-0.7772478360713677
Gomoa Central,2480657B15531990631346,Central Region,69750345B67040307067067,0.9982948160343352,0,746.0,119.0,45.0,58.0,0.0,18.0,375.0,52.0,0.0,0.0,0.0,734.0,117.0,59.0,65.0,0.0,16.0,370.0,52.0,0.0,0.0,0.0,1413.0,1413.0,1361.0,1361.0,865.0,851.0,3.306392358559882,4.2615723732549595,63.556208670095515,4.335047759000735,4.775900073475386,62.52755326965467,1.0286554004408526,0.5143277002204263,-1.0286554004408472
Offinso North,2480657B15542052325310,Ashanti Region,69750345B3295588325057,0.9389366712983412,1,7061.0,2828.0,563.0,39.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7021.0,2783.0,644.0,43.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10497.0,10497.0,10497.0,10497.0,9889.0,9804.0,5.363437172525484,0.3715347242069163,94.20786891492807,6.135086215109078,0.4096408497666,93.39811374678479,0.7716490425835945,0.03810612555968368,-0.8097551681432833
