shapeID,shapeName,treatment
2480657B26321648161032,Adenta Municipal,1
2480657B94892111901595,Ledzokuku Municipal,1
2480657B14989848452061,Chereponi,0
2480657B52594370214383,Wa East,0
2480657B26357719954092,Wa Municipal,0
2480657B56307698722921,Saboba,0
2480657B21686152565613,Jirapa,0
2480657B56494255769768,Gushegu,0
2480657B76140913943028,Sissala West,0
2480657B57712569843933,Nanumba North,0
2480657B9523556036154,Lambussie-karni,0
2480657B19364380807593,Bolgatanga Municipal,1
2480657B24752518727633,Nanumba South,1
2480657B27014820297576,Wenchi Municipal,1
2480657B66034837272834,Bongo,1
2480657B7981851544250,Tano South Municipal,0
2480657B70680953475259,Kasena Nankana West,0
2480657B35206472883168,Wa West,0
2480657B55840347650819,Sunyani Municipal,0
2480657B66384530229883,Sawla-tuna-kalba,0
2480657B39079904074923,Asante Akim South,0
2480657B88326891244380,Sissala East,0
2480657B57636315193797,Ada East,0
2480657B66464396810782,Shai Osudoku,1
2480657B68256913631937,Kasena Nankana East,0
2480657B39710750100206,Ada West,1
2480657B78318361422462,Bunkpurugu Nakpanduri,0
2480657B97498759939018,Garu,0
2480657B81968156308620,Ningo/prampram,1
2480657B84792930556748,East Mamprusi,0
2480657B88791559733000,La Dade-kotopon,0
2480657B35637781657714,Bawku West,0
2480657B72501418673064,Aowin,0
2480657B16380673722667,Dormaa East,0
2480657B41275879010095,Suaman,1
2480657B78254100433505,Berekum East Municipal,0
2480657B75704309897075,Bia East,0
2480657B92052873943163,Jaman South Municipal,0
2480657B58435284570364,Bia West,0
2480657B93462158202754,Sunyani West,1
2480657B96138797401471,Asunafo North Municipal,0
2480657B1960270363323,Bodi,1
2480657B56579001772859,Juaboso,0
2480657B63998169387071,Nkoranza North,0
2480657B51466124780551,Kintampo South,0
2480657B99130964172058,Shama,1
2480657B68079094729511,Tano North Municipal,0
2480657B7921909152770,Wassa East,0
2480657B52907018957478,Ketu North,0
2480657B89256099008264,Mpohor,0
2480657B13145859726554,Wassa Amenfi West,0
2480657B7709388821831,Ketu South,0
2480657B10255028610816,Wassa Amenfi Central,0
2480657B20833842549797,Keta Municipal,0
2480657B29295475961782,Kadjebi,0
2480657B5340678211162,Mfantseman Municipal,0
2480657B92948775681515,South Tongu,0
2480657B22323593180175,Ekumfi,0
2480657B44541331554905,Twifo Hemang Lower Denkyira,0
2480657B79217814678772,Jasikan,0
2480657B2289284937660,Twifo Atti-morkwa,0
2480657B4921606442052,Krachi East Municipal,0
2480657B19246099956301,Awutu Senya,0
2480657B13680530894334,Nkwanta South Municipal,0
2480657B20036139360918,Awutu Senya East,0
2480657B27047738560833,Afigya Kwabre South,0
2480657B60779202001283,La-nkwantanang-madina,0
2480657B14749544754301,Atwima Kwanwoma,0
2480657B66267254954762,Sekyere South,0
2480657B24635332146555,Ga East,1
2480657B22724340600972,Ayawaso West,1
2480657B61321065662810,Sekyere East,0
2480657B41485746076017,Ga South Municipal,0
2480657B90617621807510,Ga West Municipal,0
2480657B47319682331963,Sekyere Central,0
2480657B96936068561499,Ga Central Municipal,0
2480657B15542052325310,Offinso North,1
2480657B78422611914106,Krachi West,0
2480657B80894926360364,Offinso Municipal,0
2480657B43720081643569,Obuasi Municipal,0
2480657B73751367479109,Krachi Nchumuru,0
2480657B60556198830817,Kwabre East,1
2480657B11620193732867,Agotime Ziope,0
2480657B20696154785284,Adaklu,0
2480657B28564915274944,Ejura-sekyedumase,0
2480657B44972771575405,Atwima Nwabiagya South,0
2480657B79730913179219,Akatsi South,0
2480657B25907117051030,Atwima Mponua,1
2480657B78562505377679,Akatsi North,1
2480657B35240131522033,Ho Municipal,0
2480657B97463209696641,Adansi South,0
2480657B20464126159243,Hohoe Municipal,1
2480657B45906044715427,Adansi Asokwa,0
2480657B47242267083805,Ho West,0
2480657B30283206314404,Bosome Freho,0
2480657B45105521184723,Afadzato South,0
2480657B91945870955547,Ahafo Ano South East,0
2480657B8553529614763,North Dayi,0
2480657B55478680834493,Bekwai Municipal,0
2480657B39800519073464,Kpando Municipal,0
2480657B90441463194933,Bosomtwe,0
2480657B35012095074914,North Tongu,0
2480657B36678414015123,Central Tongu,0
2480657B66784074859314,Mampong Municipal,1
2480657B3117094904377,Ajumako-enyan-essiam,0
2480657B81635079362570,Gomoa West,1
2480657B39435178884870,Agona West Municipal,1
2480657B54607197552612,Agona East,0
2480657B44214183650816,Assin North,0
2480657B73071492710762,Assin South,1
2480657B2595733520620,Asikuma-odoben-brakwa,1
2480657B83789922051105,Effutu Municipal,0
2480657B26264719340764,Gomoa East,1
2480657B30493820921,Abura-asebu-kwamankese,0
2480657B70421803893954,Jomoro,0
2480657B39512912083476,Ellembelle,0
2480657B85939384202988,Dormaa Municipal,0
2480657B11503231198633,Dormaa West,0
2480657B27045720373273,Nadowli-kaleo,0
2480657B71205229821948,Prestea/huni Valley,0
2480657B81057694902297,Ahanta West Municipal,0
2480657B92911606303429,Daffiama Bussie Issa,0
2480657B37092877755739,Nzema East,0
2480657B49975124320145,Lawra,0
2480657B7958262081913,Nandom,0
2480657B19905724513669,Tarkwa Nsuaem,0
2480657B26285365473669,Talensi,0
2480657B96818528094138,Sefwi Akontombra,0
2480657B49181902253284,Effia Kwesimintsim Municipal,0
2480657B74414618551217,Nabdam,1
2480657B50810028950834,Builsa South,1
2480657B79468660523811,Builsa North,0
2480657B66646573774103,Binduri,0
